committee,name,firstname,lastname,fullname,official_name,user_id,period,begin,end,policy_field
Auswärtiger Ausschuss,"Matschie, Christoph",Christoph,Matschie,Christoph Matschie,Christoph Matschie,19286748,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Nietan, Dietmar",Dietmar,Nietan,Dietmar Nietan,Dietmar Nietan,NA,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Özoğuz, Aydan",Aydan,Özoğuz,Aydan Özoğuz,Aydan Özoğuz,83342791,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Saathoff, Johann",Johann,Saathoff,Johann Saathoff,Johann Saathoff,159217491,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Schmid, Dr. Nils",Dr. Nils,Schmid,Dr. Nils Schmid,Nils Schmid,83795057,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Bystron, Petr",Petr,Bystron,Petr Bystron,Petr Bystron,810957560723505152,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Friesen, Dr. Anton",Dr. Anton,Friesen,Dr. Anton Friesen,Anton Friesen,916324637046435840,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Hampel, Armin-Paulus",Armin-Paulus,Hampel,Armin-Paulus Hampel,Armin-Paulus Hampel,NA,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Hartwig, Dr. Roland",Dr. Roland,Hartwig,Dr. Roland Hartwig,Roland Hartwig,282687385,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Herdt, Waldemar",Waldemar,Herdt,Waldemar Herdt,Waldemar Herdt,3384824825,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Herdt, Waldemar",Waldemar,Herdt,Waldemar Herdt,Waldemar Herdt,1865308944,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Podolay, Paul Viktor",Paul Viktor,Podolay,Paul Viktor Podolay,Paul Viktor Podolay,NA,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Alt, Renata",Renata,Alt,Renata Alt,Renata Alt,1001837201276235777,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Djir-Sarai, Bijan",Bijan,Djir-Sarai,Bijan Djir-Sarai,Bijan Djir-Sarai,960463104537657344,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Kulitz, Alexander",Alexander,Kulitz,Alexander Kulitz,Alexander Kulitz,1743275384,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Lechte, Ulrich",Ulrich,Lechte,Ulrich Lechte,Ulrich Lechte,988765113606918144,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Müller-Rosentritt, Frank",Frank,Müller-Rosentritt,Frank Müller-Rosentritt,Frank Müller-Rosentritt,984048002967982080,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Dağdelen, Sevim",Sevim,Dağdelen,Sevim Dağdelen,Sevim Dağdelen,139407967,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Gysi, Dr. Gregor",Dr. Gregor,Gysi,Dr. Gregor Gysi,Gregor Gysi,888289790,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Hänsel, Heike",Heike,Hänsel,Heike Hänsel,Heike Hänsel,332264734,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Vogler, Kathrin",Kathrin,Vogler,Kathrin Vogler,Kathrin Vogler,21287514,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Nouripour, Omid",Omid,Nouripour,Omid Nouripour,Omid Nouripour,16674128,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Sarrazin, Manuel",Manuel,Sarrazin,Manuel Sarrazin,Manuel Sarrazin,17922403,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Schmidt, Dr. Frithjof",Dr. Frithjof,Schmidt,Dr. Frithjof Schmidt,Frithjof Schmidt,NA,WP_19,2017-10-24,2021-10-26,aeusseres
Auswärtiger Ausschuss,"Trittin, Jürgen",Jürgen,Trittin,Jürgen Trittin,Jürgen Trittin,485751594,WP_19,2017-10-24,2021-10-26,aeusseres
"Bau, Wohnen, Stadtentwicklung und Kommunen","Heil, Mechthild",Mechthild,Heil,Mechthild Heil,Mechthild Heil,974367631,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Hirte, Christian",Christian,Hirte,Christian Hirte,Christian Hirte,37642893,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Kießling, Michael",Michael,Kießling,Michael Kießling,Michael Kießling,730314294,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Möring, Karsten",Karsten,Möring,Karsten Möring,Karsten Möring,1099159964,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Pols, Eckhard",Eckhard,Pols,Eckhard Pols,Eckhard Pols,NA,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Schweiger, Torsten",Torsten,Schweiger,Torsten Schweiger,Torsten Schweiger,2758602415,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Wegner, Kai",Kai,Wegner,Kai Wegner,Kai Wegner,39999872,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Weisgerber, Dr. Anja",Dr. Anja,Weisgerber,Dr. Anja Weisgerber,Anja Weisgerber,133770069,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Zeulner, Emmi",Emmi,Zeulner,Emmi Zeulner,Emmi Zeulner,NA,WP_19,2017-10-24,2021-10-26,soziales
"Bau, Wohnen, Stadtentwicklung und Kommunen","Daldrup, Bernhard",Bernhard,Daldrup,Bernhard Daldrup,Bernhard Daldrup,1329019163126476800,WP_19,2017-10-24,2021-10-26,soziales
